"id","Tipo"," Asignatura","GRUPO","PE","SEMESTRE","Horas a la semana","Modalidad","Créditos","MODELO","NOMBRE(S)","APELLIDOS","Grupo Responsable","LIC MEFI","LCC MEFI","LIS MEFI","LA MEFI","LEM MEFI","LM cupo","CUPO MAX","Lunes","Aula1","Martes","Aula2","Miércoles","Aula3","Jueves","Aula4","Viernes","Aula5","","","","",""
"34-LEM6-G1+LEM7-G1+LEM8-G1","Optativa","Currículo por Competencias","","E(2013)","5","5","Regular","10","MEFI","María Guadalupe ","Ordaz Arjona","Coord. LEM","","","","","24","","24","13:30 - 15:00","H2","","","15:30 - 17:30","H1","","","14:00 - 15:30","H2","","","","",""
"35-LEM6+LEM7+LEM8","Optativa","Pensamiento Matemático y Medios Tecnológicos","","E(2013)","5","4","Regular","8","MEFI","Isabel ","Tuyub Sánchez","Coord. LEM","","","","","20","","20","","","15:30 - 17:30","C10","","","15:00 - 17:00","C7","","","","","","",""
"36-LEM6-G1+LEM7-G1+LEM8-G1","Optativa","Pensamiento Matemático Avanzado como herramienta didáctica para la docencia","","E(2013)","6","5","Regular","10","MEFI","Safira Amigai ","Pech Chi","Coord. LEM","","","","","30","","30","","","14:00 - 15:30","H4","13:30 - 15:30","C2","13:30 - 15:00","H3","","","","","","",""
"37-LEM6-G2+LEM7-G2+LEM8-G2","Optativa","Taller de Resolución de Problemas Matemáticos","","E(2013)","5","4.5","Regular","8","MEFI","Pedro David ","Sánchez Salazar","Coord. LEM","","","","","30","","30","13:30 - 15:00","C10","","","15:30 - 17:00","D2","","","14:00 - 15:30","C2","","","","",""
"38-LIC7-Acompañamiento","Obligatoria","Arquitectura de Computadoras","","IC(2013)","7","2.5","Acompañamiento","8","MEFI","Otilio","Santos Aguilar","Coord. LIC","10","","","","","","10","07:30 - 10:00","CC2","","","","","","","","","","","","",""
"39-LCC4","Obligatoria","Arquitectura y Organización de Computadoras","","CC(2016)","4","4.5","Regular","8","MEFI","Otilio","Santos Aguilar","Coord. LIC","","35","","","","","35","","","07:30 - 09:00","CC4","09:30 - 11:00","CC4","07:30 - 09:00","CC4","","","","","","",""
"40-LIS3-Acompañamiento","Obligatoria","Arquitectura y Organización de Computadoras","","IS(2016)","3","2.5","Acompañamiento","8","MEFI","Otilio","Santos Aguilar","Coord. LIC","","","20","","","","20","","","15:30 - 18:00","CC1","","","","","","","","","","",""
"41-LIC5-Acompañamiento","Obligatoria","Circuitos Electrónicos I","","IC(2013)","5","2.5","Acompañamiento","8","MEFI","Johan Jair","Estrada López","Coord. LIC","15","","","","","","15","","","","","","","08:00 - 10:30","Laboratorio de electrónica","","","","","","",""
"42-LIC6","Obligatoria","Circuitos Electrónicos II","","IC(2013)","6","4.5","Regular","8","MEFI","Otilio","Santos Aguilar","Coord. LIC","30","","","","","","30","12:30 - 14:00","Laboratorio de electrónica","","","","","14:00 - 15:30","Laboratorio de electrónica","14:30 - 16:00","Laboratorio de electrónica","","","","",""
"43-LIC4","Obligatoria","Electricidad y Magnetismo","","IC(2013)","4","4.5","Regular","8","MEFI","Aarón Abraham","Aguayo González","Coord. LIC","45","","","","","","45","07:30 - 09:00","D3","","","07:30 - 09:00","D2","","","08:00 - 09:30","D3","","","","",""
